English word,French word,Frequency
beyond,au-delà,43
horse,cheval,241
scorn,mépris,104
proof,preuve,80
raise,élever,43
sweet,sucré,664
flatter,flatter,51
ransom,une rançon,59
measure,mesure,87
longer,plus long,106
speak,parler,1005
struck,frappé,73
mortal,mortel,96
benefit,avantage,39
flourish,fleurir,42
wisdom,sagesse,92
disgrace,disgrâce,46
machine,machine,2
march,Mars,82
authority,autorité,51
which,lequel,1418
believe,croyez,185
parolles,parolles,0
bottom,bas,36
spare,de rechange,48
fight,bats toi,272
fiery,ardent,47
skill,compétence,51
undertake,entreprendre,45
conduct,conduite,46
respect,le respect,100
return,revenir,224
clown,pitre,16
company,entreprise,203
holds,tient,73
question,question,148
sentence,phrase,39
awake,éveillé,62
short,court,103
goodness,la bonté,55
promise,promettre,105
humble,humble,72
search,chercher,43
awhile,quelque temps,101
common,commun,152
flesh,la chair,137
ground,sol,165
smell,odeur,50
spend,dépenser,67
steel,acier,69
single,Célibataire,58
entertainment,divertissement,37
denied,refusé,52
memory,Mémoire,58
shepherd,berger,68
deeds,actes,118
dagger,dague,44
enjoy,prendre plaisir,49
exeunt,sortir,7
simple,Facile,72
again,encore,757
wolsey,Wolsey,0
creature,créature,72
going,Aller,102
mighty,puissant,107
satisfied,satisfait,48
church,église,55
slander,calomnie,50
saint,Saint,25
charge,charge,197
launce,lancer,0
drums,tambours,36
nothing,rien,541
natural,Naturel,57
great,génial,830
dread,crainte,46
padua,Padoue,0
heaven,paradis,577
contempt,mépris,43
birth,naissance,87
country,pays,180
misery,misère,37
prologue,prologue,19
brought,apporté,186
scene,scène,34
knock,frappe,64
therefore,par conséquent,363
assure,assurer,46
business,Entreprise,231
effect,effet,70
commission,commission,48
sorrow,chagrin,185
hostess,hôtesse,29
offend,offenser,57
anger,colère,58
estate,biens,49
paris,Paris,0
because,car,81
those,ceux,467
above,au dessus,124
grave,la tombe,182
person,la personne,150
shall,doit,3128
brain,cerveau,95
trick,tour,53
father,père,1034
blame,faire des reproches,82
limbs,membres,47
noble,noble,588
feast,le banquet,97
summer,été,89
wound,blessure,70
curse,malédiction,98
fearful,craintif,90
lovers,les amoureux,55
library,bibliothèque,3
sport,sport,119
provided,à condition de,27
morning,Matin,130
victory,la victoire,46
cares,se soucie,36
banish,bannir,116
tender,soumissionner,147
shows,montre,95
chamber,chambre,119
nature,la nature,332
knight,Chevalier,122
bears,ours,102
reason,raison,279
grant,subvention,99
according,selon,24
hazard,danger,39
talbot,talbot,0
window,la fenêtre,48
while,tandis que,177
write,écrire,105
prince,prince,119
damned,damné,43
priest,prêtre,61
ancient,ancien,72
black,noir,157
turns,se tourne,47
viola,alto,0
everything,tout,41
clothes,vêtements,40
brief,bref,84
contrary,contraire,47
stood,se tenait,82
vantage,avantage,40
walls,des murs,84
world,monde,678
lands,terres,53
place,endroit,450
rotten,pourri,36
happiness,bonheur,55
hundred,cent,114
meeting,réunion,50
along,le long de,108
suffolk,suffolk,0
cousin,cousin,236
fought,combattu,65
afraid,peur,41
almost,presque,139
frown,froncer les sourcils,51
study,étude,60
laugh,rire,110
purse,bourse,87
betray,trahir,56
lieutenant,lieutenant,32
dramatis,dramatis,0
giving,donnant,34
brows,sourcils,45
alive,vivant,86
hector,Hector,0
loose,ample,50
receive,recevoir,81
shame,la honte,294
every,chaque,456
teach,enseigner,91
perhaps,peut-être,32
virtue,vertu,179
speaks,parle,125
least,moins,101
bitter,amer,73
whither,où,38
would,aurait,2027
brook,ruisseau,43
sirrah,sirrah,77
hands,mains,319
motion,mouvement,80
please,S'il vous plaît,334
watch,regarder,135
fault,faute,170
shake,secouer,91
court,tribunal,358
faces,visages,53
citizen,citoyenne,5
picture,image,43
truly,vraiment,124
prison,prison,89
strange,étrange,241
protest,manifestation,52
steward,intendant,22
folly,folie,79
coming,venir,145
these,celles-ci,1101
dearest,très cher,56
trumpet,trompette,79
meant,signifiait,53
found,a trouvé,219
mercy,pitié,171
being,étant,548
device,dispositif,43
proud,fier,194
suddenly,tout à coup,48
yours,le tiens,248
affection,affection,71
staff,Personnel,41
certain,certain,167
personal,personnel,13
follow,suivre,281
drawn,tiré,84
revolt,révolte,41
enemies,ennemis,111
money,argent,179
lives,vies,188
ferdinand,Ferdinand,0
excellent,excellent,100
surely,sûrement,35
heavy,lourd,167
witch,sorcière,43
intend,avoir l'intention,51
profit,profit,38
flood,inonder,47
tarry,goudronneux,35
occasion,occasion,73
worse,pire,151
sight,vue,200
widow,veuve,70
neighbour,voisine,51
something,quelque chose,152
prize,prix,47
fancy,fantaisie,56
names,des noms,49
elbow,coude,19
constable,gendarme,18
frame,Cadre,45
henceforth,désormais,25
thrive,prospérer,56
brains,cerveaux,45
parts,les pièces,107
steal,voler,78
sword,épée,351
desire,le désir,209
coward,lâche,84
matter,matière,354
quality,qualité,55
safety,sécurité,74
favour,favoriser,137
guard,garde,105
myself,moi même,512
passage,passage,35
train,train,79
intent,intention,50
slave,esclave,128
title,Titre,91
chair,chaise,177
farewell,adieu,161
supper,souper,61
abide,respecter,35
maiden,jeune fille,49
majesty,majesté,69
field,champ,188
fenton,Fenton,0
wounded,blessés,38
deadly,mortel,50
night,nuit,808
danger,danger,138
captain,capitaine,60
forbear,ancêtre,44
slain,tué,125
doctor,docteur,34
suffer,souffrir,102
ambition,ambition,45
